RA;Ano_avaliacao;Nome_aluno;Idade;Fase;Turma;Instituicao_ensino;INDE;Pedra_atual;Pedra 20;Pedra 21;IDA;IEG;IAA;IPS;IPV;IAN;Nota_mat;Nota_port;Nota_ing;Atingiu PV;Defasagem;Fase ideal;IPP;Atingiu_PV_calculado;Delta_INDE;Delta_IDA;Delta_IEG;Delta_IAA;Delta_IPS;Delta_IPP;Delta_IPV;Delta_IAN;Evolucao_INDE;Evolucao_IDA;Evolucao_IEG;Evolucao_IAA;Evolucao_IPS;Evolucao_IPP;Evolucao_IPV;Evolucao_IAN;Persona_aluno
RA-1568;2024;Aluno-1568;15;Fase 4;4B;Escola Pública;7.8003261438000004;Ametista;Pré-ingresso;Pré-ingresso;8.166666666666666;7.493464052333334;9.168;7.51;8.5025;5.0;7.5;7.5;9.5;Não avaliado;-1;Fase 5 (1° EM);8.0;Sim;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Alto desempenho (estrelas resilientes)
RA-1569;2024;Aluno-1569;17;Fase 4;4B;Escola Pública;5.7191555556;Quartzo;Pré-ingresso;Pré-ingresso;2.1666666666666665;7.111111111333334;6.666;6.26;6.9175;5.0;2.0;3.0;1.5;Não avaliado;-2;Fase 6 (2° EM);6.875;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Alerta acadêmico (desfocados)
RA-157;2022;Aluno-157;12;Fase 4;L;Rede Decisão;8.317;Topázio;Ametista;Topázio;7.7;10.0;7.5;6.3;8.292;10.0;7.0;7.5;8.7;Não;1;Fase 3 (7º e 8º ano);;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Alto desempenho (estrelas resilientes)
RA-157;2023;Aluno-157;13;Fase 5;5M;Privada - Programa de Apadrinhamento;7.879008333;Ametista;Ametista;Topázio;6.8;9.9;7.1;2.52;8.63;10.0;6.0;6.8;7.5;Não avaliado;2;Fase 3 (7° e 8° ano);8.59375;Não;-0.43799166700000036;-0.9000000000000004;-0.09999999999999964;-0.40000000000000036;-3.78;;0.33800000000000097;0.0;Recuo;Recuo;Recuo;Recuo;Recuo;Sem dados;Avanço;Neutra;Esforçados em risco emocional
RA-157;2024;Aluno-157;14;Fase 5;5N;Privada - Programa de Apadrinhamento;8.950566666733334;Topázio;Ametista;Topázio;9.666666666666666;10.0;8.334;6.26;8.726666667;10.0;10.0;9.0;10.0;Não avaliado;1;Fase 4 (9° ano);8.125;Sim;1.0715583337333339;2.8666666666666663;0.09999999999999964;1.234;3.7399999999999998;-0.46875;0.09666666699999915;0.0;Avanço;Avanço;Avanço;Avanço;Avanço;Recuo;Avanço;Neutra;Alto desempenho (estrelas resilientes)
RA-1570;2024;Aluno-1570;16;Fase 4;4B;Escola Pública;7.894084175066667;Ametista;Pré-ingresso;Pré-ingresso;8.333333333333334;7.542087542;9.585;7.51;8.6725;5.0;6.5;9.0;9.5;Não avaliado;-1;Fase 5 (1° EM);7.75;Sim;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Alto desempenho (estrelas resilientes)
RA-1571;2024;Aluno-1571;16;Fase 4;4B;Escola Pública;7.2484555556;Ametista;Pré-ingresso;Pré-ingresso;5.666666666666667;9.111111111333335;8.334;5.005;8.545;5.0;5.0;6.0;6.0;Não avaliado;-1;Fase 5 (1° EM);7.5;Sim;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Esforçados em risco emocional
RA-1572;2024;Aluno-1572;15;Fase 4;4C;Escola Pública;8.080345634866667;Topázio;Pré-ingresso;Pré-ingresso;7.5;9.841269841333334;9.168;7.51;8.393333333;5.0;7.5;6.5;8.5;Não avaliado;-1;Fase 5 (1° EM);7.65625;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Alto desempenho (estrelas resilientes)
RA-1573;2024;Aluno-1573;16;Fase 4;4C;Escola Pública;6.743847969266667;Ágata;Pré-ingresso;Pré-ingresso;5.0;6.120448179333334;9.168;6.26;8.556666667;5.0;0.0;6.0;9.0;Não avaliado;-1;Fase 5 (1° EM);7.65625;Sim;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Alerta acadêmico (desfocados)
RA-1574;2024;Aluno-1574;16;Fase 4;4C;Escola Pública;7.777244180000001;Ametista;Pré-ingresso;Pré-ingresso;7.333333333333333;8.399470899666667;8.751;7.51;8.616666667;5.0;7.0;6.0;9.0;Não avaliado;-1;Fase 5 (1° EM);7.8125;Sim;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Alto desempenho (estrelas resilientes)
